"Rec. num","1. Accelerator pedal position (via CAN) (%)","2. Accelerator pedal sensor - PWM signal (%)","3. Air mass (kg/h)","4. Atmospheric pressure (kPa)","5. Control module voltage (V)","6. DTC fault detection counter","7. Engine coolant temperature (degree C)","8. Engine speed (rpm)","9. Front long term fuel trim, bank 1 (%)","10. Front short term fuel trim, bank 1 (%)","11. Fuel level (%)","12. Fuel Rail Pressure (kPa)","13. Global real time","14. Intake air temperature (degree C)","15. Manifold air pressure (kPa)","16. MECU supply voltage","17. Monititoring cycle counter #2","18. Monititoring cycle counter #3","19. Monititoring cycle counter #4","20. Outdoor temperature","21. SB0 Test failed","22. SB1 Test failed this monitoring cycle","23. SB2 Pending DTC","24. SB3 Confirmed DTC","25. SB4  Test not completed since last clear","26. SB5 Test failed since last clear","27. SB6 Test not completed this monitoring-cycle","28. SB7 Warning indicator requested","29. Throttle angle (%)","30. Total Distance","31. Total Distance","32. Vehicle speed (via CAN) (km/h)","33. Warm-up cycle counter",
1,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
2,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
3,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
4,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
5,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
6,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
7,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
8,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
9,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
10,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
11,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
12,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
13,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
14,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
15,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
16,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
17,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
18,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
19,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
20,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
21,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
22,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
23,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
24,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
25,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
26,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
27,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
28,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
29,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
30,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
31,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
32,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
33,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
34,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
35,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
36,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
37,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
38,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
39,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
40,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
41,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
42,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
43,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
44,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
45,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
46,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
47,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
48,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
49,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
50,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
51,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
52,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
53,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
54,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
55,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
56,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
57,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
58,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
59,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
60,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
61,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
62,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
63,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
64,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
65,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
66,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
67,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
68,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
69,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
70,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
71,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
72,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
73,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
74,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
75,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
76,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
77,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
78,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
79,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
80,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
81,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
82,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
83,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
84,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
85,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
86,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
87,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
88,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
89,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
90,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
91,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
92,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
93,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
94,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
95,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
96,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
97,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
98,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
99,18.43,17.65,47.66,101,14.35,0,98,1759,3.91,-2.34,54.90,5860,0,19,67,14.25,0,34,3,17,no,no,yes,yes,no,yes,yes,yes,18.04,108780,67607.21,65,0,
